Experiment
----------
Name:	15-12-11 Magra OVA eosinofilica Bude 3
File name:	C:\Users\Wothan\Documents\My flexiVent data\15-12-11 Magra OVA eosinofilica Bude 3.exp
Operator:	Cida
Comment:	Default template provided for mouse experiments.
 
Subjects
--------
 Subject  Name 	Weight	Gender	Strain	Group	Comment
 Magra  OVA  eosinofilica  Bude  3 	 24  g 	female	Balbi		
 
Perturbation:	TLC
 
 
Data
----
 
 Event  ID  -> 	5	5	6	6	12	12	12	12	12	16	16	16	16	16	17	17	17	17	17
    	 12/11/2015  10:57:22  AM 	 12/11/2015  10:57:22  AM 	 12/11/2015  10:57:38  AM 	 12/11/2015  10:57:38  AM 	 12/11/2015  11:07:34  AM 	 12/11/2015  11:07:34  AM 	 12/11/2015  11:07:34  AM 	 12/11/2015  11:07:34  AM 	 12/11/2015  11:07:34  AM 	 12/11/2015  11:22:00  AM 	 12/11/2015  11:22:00  AM 	 12/11/2015  11:22:00  AM 	 12/11/2015  11:22:00  AM 	 12/11/2015  11:22:00  AM 	 12/11/2015  11:22:13  AM 	 12/11/2015  11:22:13  AM 	 12/11/2015  11:22:13  AM 	 12/11/2015  11:22:13  AM 	 12/11/2015  11:22:13  AM 
    	 Closed  tube  cal. 	 Closed  tube  cal. 	 Open  tube  cal. 	 Open  tube  cal. 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 	 Data  set 
Time	Vol	Pcyl	Vol	Pcyl	Vol	Pcyl	Pao	Vtr	Ptr	Vol	Pcyl	Pao	Vtr	Ptr	Vol	Pcyl	Pao	Vtr	Ptr
s	mL	cmH2O	mL	cmH2O	mL	cmH2O	cmH2O	mL	cmH2O	mL	cmH2O	cmH2O	mL	cmH2O	mL	cmH2O	cmH2O	mL	cmH2O
    																			
0.30859	0.0271	5.601	0.01938	0.27074	0.06523	5.1703	5.1758	0.041548	5.1342	0.07039	4.905	4.909	0.052601	4.8319	0.06984	4.7176	4.7282	0.055179	4.6377
0.3125	0.02693	5.6068	0.01995	0.2762	0.06592	5.1992	5.2046	0.04204	5.161	0.07144	4.9164	4.9247	0.05357	4.8453	0.07098	4.7354	4.7447	0.056199	4.6579
0.31641	0.02695	5.6117	0.02053	0.28301	0.06666	5.2322	5.2369	0.042556	5.1938	0.07246	4.9318	4.9457	0.05448	4.866	0.07204	4.7401	4.7473	0.057226	4.6606
0.32031	0.02711	5.6201	0.02113	0.28755	0.06738	5.2657	5.27	0.043054	5.2284	0.07346	4.9586	4.9752	0.055308	4.8964	0.07309	4.7357	4.7419	0.0583	4.6551
0.32422	0.02728	5.6328	0.02181	0.28871	0.06809	5.3001	5.3029	0.04354	5.2602	0.07451	4.9934	5.0067	0.056122	4.9313	0.07411	4.7299	4.7371	0.059355	4.6519
0.32813	0.02745	5.6486	0.02259	0.28745	0.06889	5.3353	5.3332	0.044107	5.2854	0.07557	5.0288	5.0367	0.056946	4.9667	0.07508	4.7236	4.7325	0.060357	4.649
0.33203	0.0276	5.6676	0.0234	0.28548	0.06982	5.3623	5.3547	0.044857	5.3002	0.07662	5.064	5.0699	0.05776	5.0012	0.07602	4.7187	4.7278	0.061325	4.6456
0.33594	0.02773	5.688	0.02419	0.28266	0.07079	5.3736	5.3616	0.045747	5.3035	0.07771	5.1016	5.1091	0.058604	5.035	0.07701	4.7222	4.7295	0.062285	4.6465
0.33984	0.02789	5.7086	0.0249	0.27845	0.07173	5.3692	5.3574	0.046708	5.2959	0.07888	5.1412	5.1489	0.059517	5.0704	0.07815	4.738	4.7449	0.063324	4.6571
0.34375	0.02815	5.7292	0.02553	0.27637	0.07263	5.3568	5.3505	0.04768	5.2859	0.0801	5.1804	5.185	0.060471	5.1079	0.07943	4.7654	4.7755	0.064418	4.6834
0.34766	0.02844	5.7492	0.02611	0.27874	0.07346	5.3462	5.3459	0.04858	5.2816	0.08131	5.2187	5.2206	0.061431	5.1434	0.08075	4.8032	4.8149	0.065488	4.7237
0.35156	0.02868	5.7707	0.02667	0.28179	0.07426	5.3441	5.3477	0.049385	5.2868	0.0826	5.2577	5.262	0.062457	5.1767	0.08209	4.8499	4.8583	0.066516	4.771
0.35547	0.0288	5.795	0.02725	0.28104	0.07506	5.3577	5.3635	0.050092	5.3092	0.08398	5.2987	5.3076	0.063571	5.2147	0.08352	4.9076	4.9103	0.067571	4.8236
0.35938	0.02883	5.82	0.02788	0.27826	0.07586	5.3917	5.3979	0.050664	5.3516	0.08535	5.3395	5.3479	0.064674	5.2572	0.08515	4.9786	4.9764	0.068731	4.884
0.36328	0.02887	5.8468	0.02854	0.27813	0.07668	5.4422	5.4464	0.05115	5.4043	0.08667	5.3776	5.3824	0.065741	5.2963	0.08701	5.059	5.0523	0.070068	4.9498
0.36719	0.02899	5.8831	0.02921	0.28061	0.07758	5.5012	5.5013	0.051664	5.4575	0.08799	5.4136	5.4209	0.06682	5.3299	0.08909	5.141	5.1306	0.071614	5.0177
0.37109	0.02921	5.9323	0.02981	0.28017	0.07863	5.563	5.5595	0.052302	5.5118	0.08936	5.4485	5.4633	0.067952	5.3613	0.09132	5.2208	5.2088	0.073322	5.0876
0.375	0.02948	5.9904	0.03032	0.27536	0.07976	5.6273	5.6219	0.053015	5.5733	0.09074	5.4799	5.4982	0.069121	5.391	0.09364	5.2981	5.2852	0.075129	5.1574
0.37891	0.02969	6.0546	0.03082	0.27303	0.08092	5.6954	5.688	0.053728	5.642	0.09209	5.5059	5.521	0.070301	5.4143	0.09599	5.3664	5.352	0.077035	5.2177
0.38281	0.02989	6.1237	0.03137	0.27648	0.08207	5.7643	5.7539	0.054425	5.7123	0.09346	5.526	5.5382	0.07154	5.428	0.09835	5.4185	5.4042	0.079052	5.2643
0.38672	0.03023	6.1979	0.032	0.27953	0.08317	5.8282	5.8158	0.055099	5.7772	0.09491	5.5406	5.5534	0.072888	5.4351	0.10067	5.4583	5.4463	0.081104	5.3056
0.39063	0.03073	6.2777	0.03263	0.27856	0.08421	5.8848	5.8739	0.055771	5.8315	0.09641	5.5497	5.5619	0.074325	5.4418	0.10289	5.495	5.4869	0.083082	5.3492
0.39453	0.03125	6.3624	0.03321	0.27562	0.08527	5.9344	5.9303	0.056504	5.8762	0.09788	5.5572	5.5687	0.075735	5.4546	0.105	5.5316	5.5246	0.084952	5.392
