Experiment
----------
Name:	15-12-11 Magra OVA eosinofilica Bude 3
File name:	C:\Users\Wothan\Documents\My flexiVent data\15-12-11 Magra OVA eosinofilica Bude 3.exp
Operator:	Cida
Comment:	Default template provided for mouse experiments.
 
Subjects
--------
 Subject  Name 	Weight	Gender	Strain	Group	Comment
 Magra  OVA  eosinofilica  Bude  3 	 24  g 	female	Balbi		
 
Perturbation:	TLC
Perturbation:	SnapShot-150 v5.2
Perturbation:	Quick Prime-3 v5.2
Perturbation:	Prime-8 v5.2
Perturbation:	PVs-V v5.2
Perturbation:	PVr-V v5.2
Perturbation:	PVr-P v5.2
Perturbation:	PVs-P v5.2
 
 
Data
----
 
 Event  ID 	Timestamp	 Event  Type 	Comments	Vt	RR	I:E	 End  inspiratory  pause 	Pmax	Vt/weight	PEEP	Ptr,mean	Ptr,max	Ptr,min	Ptr,p-p	Vtr,p-p	Pcyl,p-p	Vol,p-p	Vend	Vend/wt	Vtr,end	Ptr,end	Rn	I	G	H	eta	CODcp
				mL	br/min	%	s	cmH2O	mL/kg	cmH2O	cmH2O	cmH2O	cmH2O	cmH2O	mL	cmH2O	mL	mL	mL/kg	mL	cmH2O	cmH2O.s/mL	cmH2O.s.s/mL	cmH2O/mL	cmH2O/mL		
																											
61	 12/11/2015  11:34:47  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.4888	3.3291	5.0342	1.9669	3.0673	0.080125	3.7701	0.094933					0.43615	-9.9713E-5	5.4112	25.272	0.21412	0.94269
62	 12/11/2015  11:34:58  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.4903	3.3165	4.9113	1.9748	2.9366	0.07969	3.6556	0.094358					0.38138	-5.214E-5	4.9538	25.483	0.1944	0.99075
63	 12/11/2015  11:35:09  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.5182	3.2535	4.7961	1.9932	2.8029	0.081142	3.4733	0.094642					0.3489	-0.00011358	4.5725	25.54	0.17904	0.99401
64	 12/11/2015  11:35:20  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.5153	3.2736	4.7134	2.0399	2.6736	0.081164	3.3343	0.094874					0.28159	6.3408E-5	4.8021	24.822	0.19346	0.98309
65	 12/11/2015  11:35:31  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.5076	3.2575	4.6869	2.0256	2.6612	0.081481	3.2946	0.094502					0.30094	0.00011789	4.6166	24.992	0.18473	0.98202
66	 12/11/2015  11:35:42  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.4448	3.2556	4.6974	2.058	2.6395	0.080626	3.35	0.094338					0.26842	0.000163	4.6937	24.775	0.18946	0.98439
67	 12/11/2015  11:35:53  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.494	3.2851	4.7107	1.9935	2.7172	0.080494	3.4063	0.094662					0.3014	1.9895E-6	4.4039	24.888	0.17695	0.97953
68	 12/11/2015  11:36:04  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.5077	3.2751	4.7257	2.0717	2.6539	0.081491	3.1318	0.095491					0.26234	-7.6266E-5	4.6377	24.622	0.18836	0.98694
69	 12/11/2015  11:36:14  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.5065	3.2693	4.6953	2.0318	2.6635	0.08077	3.3373	0.094564					0.29135	-0.00011649	4.3946	25.106	0.17504	0.97616
70	 12/11/2015  11:36:25  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.4083	3.2697	4.7013	1.9775	2.7238	0.080183	3.4169	0.094488					0.29522	0.00014011	4.4817	25.003	0.17924	0.98967
71	 12/11/2015  11:36:36  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.4829	3.2552	4.6742	1.9946	2.6796	0.08056	3.2739	0.094305					0.28951	0.00016103	4.5888	25.268	0.1816	0.98892
72	 12/11/2015  11:36:47  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.4923	3.2868	4.742	2.0511	2.6909	0.081295	3.3223	0.095177					0.28056	7.2428E-5	4.6365	25.047	0.18511	0.99219
73	 12/11/2015  11:36:58  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.5042	3.261	4.6749	2.0444	2.6305	0.080411	3.307	0.093996					0.27633	-2.0015E-5	4.6446	24.931	0.1863	0.995
74	 12/11/2015  11:39:13  AM 	 Ventilation  (Quasi-sinusoidal) 		0.24	150				10																		
77	 12/11/2015  11:39:18  AM 	 Ventilation  (Quasi-sinusoidal) 		0.24	150				10																		
78	 12/11/2015  11:39:18  AM 	 User  marker 	 MCh  300  ug/kg.  From  script  '15_09_15_Mch_300  ug-kg_Cida_Z' 																								
79	 12/11/2015  11:39:46  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.4973	3.4155	7.5689	0.29598	7.2729	0.076082	7.8567	0.094378					3.2585	-0.0039265	10.562	23.209	0.45508	0.96683
80	 12/11/2015  11:39:57  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.5731	3.5636	8.1177	0.50765	7.61	0.075417	8.2475	0.094405					3.6902	-0.0053044	10.765	24.021	0.44812	0.95224
81	 12/11/2015  11:40:08  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.5373	3.546	7.3343	0.87313	6.4612	0.076417	7.1825	0.094971					2.4696	-0.0025522	8.6995	26.483	0.32849	0.96385
82	 12/11/2015  11:40:19  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.5306	3.4903	6.3227	1.5077	4.8149	0.078443	5.5973	0.095165					1.343	-0.001083	6.9554	27.053	0.2571	0.9842
83	 12/11/2015  11:40:30  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.5154	3.3539	5.4772	1.7744	3.7028	0.07906	4.5658	0.094575					0.77886	-0.00024266	5.9942	27.519	0.21782	0.98514
84	 12/11/2015  11:40:41  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.4057	3.3687	5.2217	1.8243	3.3974	0.079048	4.0926	0.095133					0.52723	-4.1807E-5	5.4505	27.812	0.19598	0.99395
85	 12/11/2015  11:40:51  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.3878	3.3398	5.0374	2.0037	3.0337	0.078875	3.7392	0.094535					0.38771	5.3811E-5	5.2196	26.271	0.19868	0.97777
86	 12/11/2015  11:41:02  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.3846	3.2953	4.9191	1.9274	2.9917	0.079693	3.7042	0.094586					0.35603	-4.487E-5	5.0608	26.457	0.19128	0.97785
87	 12/11/2015  11:41:13  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.5009	3.3401	4.852	1.9548	2.8973	0.080232	3.559	0.095329					0.32642	0.00023417	5.2192	25.752	0.20268	0.9924
88	 12/11/2015  11:41:24  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.3982	3.3398	4.9602	1.9706	2.9897	0.079416	3.6801	0.094658					0.36267	5.0322E-5	5.1946	27.767	0.18708	0.99399
89	 12/11/2015  11:41:35  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.4953	3.3584	4.9218	2.0077	2.9141	0.079183	3.5864	0.094769					0.35398	7.8587E-5	5.1619	27.501	0.1877	0.99053
90	 12/11/2015  11:41:46  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.5037	3.3422	4.9307	1.953	2.9777	0.080197	3.6492	0.095043					0.33466	0.00010563	5.228	27.292	0.19156	0.99392
91	 12/11/2015  11:41:57  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.4218	3.3566	4.9485	2.0302	2.9184	0.079844	3.6099	0.095381					0.33415	9.4157E-6	4.9226	27.634	0.17814	0.9959
92	 12/11/2015  11:42:08  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.4725	3.3472	4.929	2.0107	2.9183	0.079278	3.5611	0.094763					0.32607	3.2459E-5	5.018	27.541	0.1822	0.9917
93	 12/11/2015  11:42:18  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.5318	3.3439	4.8982	2.0425	2.8557	0.080064	3.4543	0.095186					0.32525	0.00015266	4.9972	27.352	0.1827	0.9905
94	 12/11/2015  11:44:37  AM 	 Ventilation  (Quasi-sinusoidal) 		0.24	150				10																		
97	 12/11/2015  11:44:40  AM 	 Ventilation  (Quasi-sinusoidal) 		0.24	150				10																		
98	 12/11/2015  11:44:41  AM 	 User  marker 	 MCh  1000  ug/kg.  From  script  '15_09_15_Mch_1000  ug-kg_Cida_Z' 																								
(99)	 12/11/2015  11:45:03  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.7536	4.435	10.689	0.081015	10.608	0.065568	10.986	0.094359					7.0952	-0.011079	22.176	20.378	1.0882	0.86752
(100)	 12/11/2015  11:45:13  AM 	 Data  set  (Magra  OVA  eosinofilica  Bude  3,  Quick  Prime-3  v5.2) 								2.7049	4.7062	11.618	-0.11433	11.733	0.058136	12.053	0.09407					7.7742	-0.014222	32.254	24.723	1.3046	0.77967
